provice, city, jneoke, jnereguler
Nanggroe Aceh Darusalam,"Alafan, Simeuleu",0,0
Nanggroe Aceh Darusalam,"Salang, Simeuleu",0,0
Nanggroe Aceh Darusalam,"Simeulue Tengah, Simeuleu",0,0
Nanggroe Aceh Darusalam,"Simeulue Timur, Simeuleu",0,0
Nanggroe Aceh Darusalam,"Simuelue Barat, Simeuleu",0,0
Nanggroe Aceh Darusalam,"Sinabang, Simeuleu",0,0
Nanggroe Aceh Darusalam,"Teluk Dalam, Simeuleu",0,0
Nanggroe Aceh Darusalam,"Teupah Selatan, Simeuleu",0,0
Nanggroe Aceh Darusalam,"Teupah Barat, Simeuleu",0,0
Sumatera Utara,"Kerajaan, Pakpak Barat",0,0
Sumatera Utara,"Salak, Pakpak Barat",0,0
Sumatera Utara,"Sitellu Tai Urang Jehe, Pakpak Barat",0,0
Sumatera Utara,"Sitellu Tai Urang Julu, Pakpak Barat",0,0
Sumatera Utara,"Pergetteng-getteng Sengkut, Pakpak Barat",0,0
Sumatera Utara,"Pagindar, Pakpak Barat",0,0
Sumatera Utara,"Siempat Rube, Pakpak Barat",0,0
Sumatera Utara,"Tinada, Pakpak Barat",0,0
Sumatera Utara,"Pematang Siantar, Pematangsiantar",0,0
Sumatera Utara,"Siantar Barat, Pematangsiantar",0,0
Sumatera Utara,"Siantar Marihat, Pematangsiantar",0,0
Sumatera Utara,"Siantar Martoba, Pematangsiantar",0,0
Sumatera Utara,"Siantar Selatan, Pematangsiantar",0,0
Sumatera Utara,"Siantar Timur, Pematangsiantar",0,0
Sumatera Utara,"Siantar Utara, Pematangsiantar",0,0
Sumatera Utara,"Sibolga Kota, Sibolga",0,0
Sumatera Utara,"Sibolga Sambas, Sibolga",0,0
Sumatera Utara,"Sibolga Selatan, Sibolga",0,0
Sumatera Utara,"Sibolga Utara, Sibolga",0,0
Bengkulu,"Kedurang, Bengkulu Selatan",0,0
Bengkulu,"Kota Manna, Bengkulu Selatan",0,0
Bengkulu,"Manna, Bengkulu Selatan",0,0
Bengkulu,"Pino, Bengkulu Selatan",0,0
Bengkulu,"Pinoraya, Bengkulu Selatan",0,0
Bengkulu,"Seginim, Bengkulu Selatan",0,0
Riau,Meranti,0,0
Riau,"Merbau, Meranti",0,0
Riau,"Rangsang, Meranti",0,0
Riau,"Rangsang Barat, Meranti",0,0
Riau,"Selat Panjang, Meranti",0,0
Riau,"Tebing Tinggi, Meranti",0,0
Riau,"Tebing Tinggi Barat, Meranti",0,0
Riau,"Teluk Kuantan, Kuantan Sengingi",0,0
Riau,"Benai, Kuantan Sengingi",0,0
Riau,"Cerenti, Kuantan Sengingi",0,0
Riau,"Gunung Toar, Kuantan Sengingi",0,0
Riau,"Hulu Kuantan, Kuantan Sengingi",0,0
Riau,"Inuman, Kuantan Sengingi",0,0
Riau,"Kuantan Hilir, Kuantan Sengingi",0,0
Riau,"Kuantan Mudik, Kuantan Sengingi",0,0
Riau,"Kuantan Tengah, Kuantan Sengingi",0,0
Riau,"Logas Tanah Darat, Kuantan Sengingi",0,0
Riau,"Pangean, Kuantan Sengingi",0,0
Riau,"Singingi, Kuantan Sengingi",0,0
Riau,"Singingi Hilir, Kuantan Sengingi",0,0
Sumatera Barat,"Akabiluru, Lima Puluh Kota",0,0
Sumatera Barat,"Bukit Barisan, Lima Puluh Kota",0,0
Sumatera Barat,"Guguk, Lima Puluh Kota",0,0
Sumatera Barat,"Gunung Mas, Lima Puluh Kota",0,0
Sumatera Barat,"Harau, Lima Puluh Kota",0,0
Sumatera Barat,"Kapur Ix, Lima Puluh Kota",0,0
Sumatera Barat,"Lareh Sago Halaban, Lima Puluh Kota",0,0
Sumatera Barat,"Luhak, Lima Puluh Kota",0,0
Sumatera Barat,"Mungka, Lima Puluh Kota",0,0
Sumatera Barat,"Pangkalan Koto Baru, Lima Puluh Kota",0,0
Sumatera Barat,"Payakumbuh, Lima Puluh Kota",0,0
Sumatera Barat,"Sarilamak, Lima Puluh Kota",0,0
Sumatera Barat,"Situjuh Lima Nagari, Lima Puluh Kota",0,0
Sumatera Barat,"Suliki Gunung Mas, Lima Puluh Kota",0,0
Sumatera Barat,"Pagai Selatan, Kepulauan Mentawai",0,0
Sumatera Barat,"Pagai Utara, Kepulauan Mentawai",0,0
Sumatera Barat,"Siberut Selatan, Kepulauan Mentawai",0,0
Sumatera Barat,"Siberut Utara, Kepulauan Mentawai",0,0
Sumatera Barat,"Sipora, Kepulauan Mentawai",0,0
Sumatera Barat,"Tuapejat, Kepulauan Mentawai",0,0
Sumatera Barat,"Gunung Tuleh, Pasaman Barat",0,0
Sumatera Barat,"Kinali, Pasaman Barat",0,0
Sumatera Barat,"Lembah Melintang, Pasaman Barat",0,0
Sumatera Barat,"Luhak Nan Duo, Pasaman Barat",0,0
Sumatera Barat,"Pasaman, Pasaman Barat",0,0
Sumatera Barat,"Ranah Balingka, Pasaman Barat",0,0
Sumatera Barat,"Ranah Batahan, Pasaman Barat",0,0
Sumatera Barat,"Ranah Pesisir, Pasaman Barat",0,0
Sumatera Barat,"Simpang Empat, Pasaman Barat",0,0
Sumatera Barat,"Sungai Aur, Pasaman Barat",0,0
Sumatera Barat,"Sungai Beremas, Pasaman Barat",0,0
Sumatera Barat,"Talamau, Pasaman Barat",0,0
Sumatera Barat,"Koto Parik Gadang Diateh, Solok Selatan",0,0
Sumatera Barat,"Padang Aro, Solok Selatan",0,0
Sumatera Barat,"Sangir, Solok Selatan",0,0
Sumatera Barat,"Sangir Batanghari, Solok Selatan",0,0
Sumatera Barat,"Sangir Jujuan, Solok Selatan",0,0
Sumatera Barat,"Sungai Pagu, Solok Selatan",0,0
Sumatera Barat,"Aur Birugo Tigo Baleh, Bukit Tinggi",0,0
Sumatera Barat,Bukit Tinggi,0,0
Sumatera Barat,"Guguk Panjang, Bukit Tinggi",0,0
Sumatera Barat,"Mandiangin Koto Selayan, Bukit Tinggi",0,0
Sumatera Selatan,"Lintang Kanan, Empat Lawang",0,0
Sumatera Selatan,"Muara Pinang, Empat Lawang",0,0
Sumatera Selatan,"Pasemah Air Keruh, Empat Lawang",0,0
Sumatera Selatan,"Pendopo, Empat Lawang",0,0
Sumatera Selatan,"Talang Padang, Empat Lawang",0,0
Sumatera Selatan,"Tebing Tinggi, Empat Lawang",0,0
Sumatera Selatan,"Ulu Musi, Empat Lawang",0,0
Sumatera Selatan,"Banding Agung, Ogan Komering Ulu Selatan",0,0
Sumatera Selatan,"Buay Pemaca, Ogan Komering Ulu Selatan",0,0
Sumatera Selatan,"Buay Runjung, Ogan Komering Ulu Selatan",0,0
Sumatera Selatan,"Buay Sandang Aji, Ogan Komering Ulu Selatan",0,0
Sumatera Selatan,"Kisam Tinggi, Ogan Komering Ulu Selatan",0,0
Sumatera Selatan,"Mekakau Ilir, Ogan Komering Ulu Selatan",0,0
Sumatera Selatan,"Muaradua, Ogan Komering Ulu Selatan",0,0
Sumatera Selatan,"Muaradua Kisam, Ogan Komering Ulu Selatan",0,0
Sumatera Selatan,"Pulau Beringin, Ogan Komering Ulu Selatan",0,0
Sumatera Selatan,"Simpang, Ogan Komering Ulu Selatan",0,0
Jawa Barat,"Baros, Sukabumi",0,0
Jawa Barat,"Cibeureum, Sukabumi",0,0
Jawa Barat,"Cikole, Sukabumi",0,0
Jawa Barat,"Citamiang, Sukabumi",0,0
Jawa Barat,"Gunungpuyuh, Sukabumi",0,0
Jawa Barat,"Lembursitu, Sukabumi",0,0
Jawa Barat,"Warudoyong, Sukabumi",0,0
Dki Jakarta,"Pulau Pramuka, Kepulauan Seribu",0,0
Dki Jakarta,"Kepulauan Seribu Selatan, Kepulauan Seribu",0,0
Dki Jakarta,"Kepulauan Seribu Utara, Kepulauan Seribu",0,0
Jawa Tengah,"Colomadu, Karang Anyar",0,0
Jawa Tengah,"Gondangrejo, Karang Anyar",0,0
Jawa Tengah,"Jaten, Karang Anyar",0,0
Jawa Tengah,"Jatipuro, Karang Anyar",0,0
Jawa Tengah,"Jatiyoso, Karang Anyar",0,0
Jawa Tengah,"Jenawi, Karang Anyar",0,0
Jawa Tengah,"Jumantono, Karang Anyar",0,0
Jawa Tengah,"Jumapolo, Karang Anyar",0,0
Jawa Tengah,"Karanganyar, Karang Anyar",0,0
Jawa Tengah,"Karangpandan, Karang Anyar",0,0
Jawa Tengah,"Kebakkramat, Karang Anyar",0,0
Jawa Tengah,"Kerjo, Karang Anyar",0,0
Jawa Tengah,"Matesih, Karang Anyar",0,0
Jawa Tengah,"Mojogedang, Karang Anyar",0,0
Jawa Tengah,"Ngargoyoso, Karang Anyar",0,0
Jawa Tengah,"Tasikmadu, Karang Anyar",0,0
Jawa Tengah,"Tawangmangu, Karang Anyar",0,0
Jawa Tengah,"Bojong, Pekalongan",0,0
Jawa Tengah,"Buaran, Pekalongan",0,0
Jawa Tengah,"Doro, Pekalongan",0,0
Jawa Tengah,"Kajen, Pekalongan",0,0
Jawa Tengah,"Kandangserang, Pekalongan",0,0
Jawa Tengah,"Karanganyar, Pekalongan",0,0
Jawa Tengah,"Karangdadap, Pekalongan",0,0
Jawa Tengah,"Kedungwuni, Pekalongan",0,0
Jawa Tengah,"Kesesi, Pekalongan",0,0
Jawa Tengah,"Lebakbarang, Pekalongan",0,0
Jawa Tengah,"Paninggaran, Pekalongan",0,0
Jawa Tengah,"Petungkriono, Pekalongan",0,0
Jawa Tengah,"Siwalan, Pekalongan",0,0
Jawa Tengah,"Sragi, Pekalongan",0,0
Jawa Tengah,"Talun, Pekalongan",0,0
Jawa Tengah,"Tirto, Pekalongan",0,0
Jawa Tengah,"Wiradesa, Pekalongan",0,0
Jawa Tengah,"Wonokerto, Pekalongan",0,0
Jawa Tengah,"Wonopringgo, Pekalongan",0,0
Jawa Tengah,"Garung, Wonosobo",0,0
Jawa Tengah,"Kalibawang, Wonosobo",0,0
Jawa Tengah,"Kalikajar, Wonosobo",0,0
Jawa Tengah,"Kaliwiro, Wonosobo",0,0
Jawa Tengah,"Kejajar, Wonosobo",0,0
Jawa Tengah,"Kepil, Wonosobo",0,0
Jawa Tengah,"Kertek, Wonosobo",0,0
Jawa Tengah,"Leksono, Wonosobo",0,0
Jawa Tengah,"Mojotengah, Wonosobo",0,0
Jawa Tengah,"Sapuran, Wonosobo",0,0
Jawa Tengah,"Selomerto, Wonosobo",0,0
Jawa Tengah,"Sukoharjo, Wonosobo",0,0
Jawa Tengah,"Wadaslintang, Wonosobo",0,0
Jawa Tengah,"Watumalang, Wonosobo",0,0
Jawa Tengah,Wonosobo,0,0
Jawa Timur,"Bakung, Blitar",0,0
Jawa Timur,"Binangun, Blitar",0,0
Jawa Timur,Blitar,0,0
Jawa Timur,"Doko, Blitar",0,0
Jawa Timur,"Gandusari, Blitar",0,0
Jawa Timur,"Garum, Blitar",0,0
Jawa Timur,"Kademangan, Blitar",0,0
Jawa Timur,"Kanigoro, Blitar",0,0
Jawa Timur,"Kesamben, Blitar",0,0
Jawa Timur,"Nglegok, Blitar",0,0
Jawa Timur,"Panggungrejo, Blitar",0,0
Jawa Timur,"Ponggok, Blitar",0,0
Jawa Timur,"Sanankulon, Blitar",0,0
Jawa Timur,"Selopuro, Blitar",0,0
Jawa Timur,"Selorejo, Blitar",0,0
Jawa Timur,"Srengat, Blitar",0,0
Jawa Timur,"Sutojayan, Blitar",0,0
Jawa Timur,"Talun, Blitar",0,0
Jawa Timur,"Udanawu, Blitar",0,0
Jawa Timur,"Wates, Blitar",0,0
Jawa Timur,"Wlingi, Blitar",0,0
Jawa Timur,"Wonodadi, Blitar",0,0
Jawa Timur,"Wonotirto, Blitar",0,0
Jawa Timur,"Banyakan, Kediri",0,0
Jawa Timur,"Gampengrejo, Kediri",0,0
Jawa Timur,"Grogol, Kediri",0,0
Jawa Timur,"Gurah, Kediri",0,0
Jawa Timur,"Kandangan, Kediri",0,0
Jawa Timur,"Kandat, Kediri",0,0
Jawa Timur,"Kayen Kidul, Kediri",0,0
Jawa Timur,Kediri,0,0
Jawa Timur,"Kepung, Kediri",0,0
Jawa Timur,"Kras, Kediri",0,0
Jawa Timur,"Kunjang, Kediri",0,0
Jawa Timur,"Mojo, Kediri",0,0
Jawa Timur,"Ngadiluwih, Kediri",0,0
Jawa Timur,"Ngancar, Kediri",0,0
Jawa Timur,"Pagu, Kediri",0,0
Jawa Timur,"Papar, Kediri",0,0
Jawa Timur,"Pare, Kediri",0,0
Jawa Timur,"Plemahan, Kediri",0,0
Jawa Timur,"Plosoklaten, Kediri",0,0
Jawa Timur,"Puncu, Kediri",0,0
Jawa Timur,"Purwoasri, Kediri",0,0
Jawa Timur,"Ringinrejo, Kediri",0,0
Jawa Timur,"Semen, Kediri",0,0
Jawa Timur,"Tarokan, Kediri",0,0
Jawa Timur,"Wates, Kediri",0,0
Jawa Timur,"Bangsal, Mojokerto",0,0
Jawa Timur,"Dawarblandong, Mojokerto",0,0
Jawa Timur,"Dlanggu, Mojokerto",0,0
Jawa Timur,"Gedeg, Mojokerto",0,0
Jawa Timur,"Gondang, Mojokerto",0,0
Jawa Timur,"Jatirejo, Mojokerto",0,0
Jawa Timur,"Jetis, Mojokerto",0,0
Jawa Timur,"Kemlagi, Mojokerto",0,0
Jawa Timur,"Kutorejo, Mojokerto",0,0
Jawa Timur,"Mojoanyar, Mojokerto",0,0
Jawa Timur,Mojokerto,0,0
Jawa Timur,"Mojosari, Mojokerto",0,0
Jawa Timur,"Ngoro, Mojokerto",0,0
Jawa Timur,"Pacet, Mojokerto",0,0
Jawa Timur,"Pungging, Mojokerto",0,0
Jawa Timur,"Puri, Mojokerto",0,0
Jawa Timur,"Sooko, Mojokerto",0,0
Jawa Timur,"Trawas, Mojokerto",0,0
Jawa Timur,"Trowulan, Mojokerto",0,0
Jawa Timur,"Arjasa, Kab Situbondo",0,0
Jawa Timur,"Asembagus, Kab Situbondo",0,0
Jawa Timur,"Banyugluglur, Kab Situbondo",0,0
Jawa Timur,"Banyuputih, Kab Situbondo",0,0
Jawa Timur,"Besuki, Kab Situbondo",0,0
Jawa Timur,"Bungatan, Kab Situbondo",0,0
Jawa Timur,"Jangkar, Kab Situbondo",0,0
Jawa Timur,"Jatibanteng, Kab Situbondo",0,0
Jawa Timur,"Kapongan, Kab Situbondo",0,0
Jawa Timur,"Kendit, Kab Situbondo",0,0
Jawa Timur,"Mangaran, Kab Situbondo",0,0
Jawa Timur,"Mlandingan, Kab Situbondo",0,0
Jawa Timur,"Panarukan, Kab Situbondo",0,0
Jawa Timur,"Panji, Kab Situbondo",0,0
Jawa Timur,"Situbondo, Kab Situbondo",0,0
Jawa Timur,"Suboh, Kab Situbondo",0,0
Jawa Timur,"Sumber Malang, Kab Situbondo",0,0
Nusa Tenggara Timur,"Biboki Anleu, Timor Tengah Utara",0,0
Nusa Tenggara Timur,"Biboki Selatan, Timor Tengah Utara",0,0
Nusa Tenggara Timur,"Biboki Utara, Timor Tengah Utara",0,0
Nusa Tenggara Timur,"Insana, Timor Tengah Utara",0,0
Nusa Tenggara Timur,"Insana Utara, Timor Tengah Utara",0,0
Nusa Tenggara Timur,"Kefamenanu, Timor Tengah Utara",0,0
Nusa Tenggara Timur,"Miomafo Barat, Timor Tengah Utara",0,0
Nusa Tenggara Timur,"Miomafo Timur, Timor Tengah Utara",0,0
Nusa Tenggara Timur,"Neomuti, Timor Tengah Utara",0,0
Kalimantan Selatan,"Bakarangan, Tampin",0,0
Kalimantan Selatan,"Binuang, Tampin",0,0
Kalimantan Selatan,"Bungur, Tampin",0,0
Kalimantan Selatan,"Candi Laras Selatan, Tampin",0,0
Kalimantan Selatan,"Candi Laras Utara, Tampin",0,0
Kalimantan Selatan,"Lokpaikat, Tampin",0,0
Kalimantan Selatan,"Piani, Tampin",0,0
Kalimantan Selatan,"Tapin Selatan, Tampin",0,0
Kalimantan Selatan,"Tapin Tengah, Tampin",0,0
Kalimantan Selatan,"Tapin Utara, Tampin",0,0
Kalimantan Selatan,"Hatungun, Tampin",0,0
Kalimantan Selatan,"Rantau, Tampin",0,0
Kalimantan Selatan,"Salam Babaris, Tampin",0,0
Kalimantan Tengah,"Bulik, Lamandau",0,0
Kalimantan Tengah,"Delang, Lamandau",0,0
Kalimantan Tengah,Lamandau,0,0
Kalimantan Tengah,"Nanga Bulik, Lamandau",0,0
Kalimantan Tengah,"Bukit Batu, Palangkaraya",0,0
Kalimantan Tengah,"Jekan Raya, Palangkaraya",0,0
Kalimantan Tengah,"Pahandut, Palangkaraya",0,0
Kalimantan Tengah,Palangkaraya,0,0
Kalimantan Tengah,"Rakumpit, Palangkaraya",0,0
Kalimantan Tengah,"Sebangau, Palangkaraya",0,0
Kalimantan Timur,"Babulu, Panajam Paser Utara",0,0
Kalimantan Timur,"Penajam, Panajam Paser Utara",0,0
Kalimantan Timur,"Sepaku, Panajam Paser Utara",0,0
Kalimantan Timur,"Waru, Panajam Paser Utara",0,0
Kalimantan Timur,"Sesayap, Tana Tidung",0,0
Kalimantan Timur,"Sesayap Hilir, Tana Tidung",0,0
Kalimantan Timur,"Tanah Lia, Tana Tidung",0,0
Kalimantan Timur,"Sembakung, Tana Tidung",0,0
Kalimantan Timur,"Tanah Tidung, Tana Tidung",0,0
Gorontalo,"Bone Panta, Bone Bolango",0,0
Gorontalo,"Kabila, Bone Bolango",0,0
Gorontalo,"Suwawa, Bone Bolango",0,0
Gorontalo,"Tapa, Bone Bolango",0,0
Gorontalo,"Lemito, Pahuwalo",0,0
Gorontalo,"Marisa, Pahuwalo",0,0
Gorontalo,"Paguat, Pahuwalo",0,0
Gorontalo,"Patilanggio, Pahuwalo",0,0
Gorontalo,"Popayato, Pahuwalo",0,0
Gorontalo,"Randangan, Pahuwalo",0,0
Gorontalo,"Taluditi, Pahuwalo",0,0
Sulawesi Selatan,"Baranti, Sindenreng Rappang",0,0
Sulawesi Selatan,"Duapitue, Sindenreng Rappang",0,0
Sulawesi Selatan,"Kulo, Sindenreng Rappang",0,0
Sulawesi Selatan,"Maritengngae, Sindenreng Rappang",0,0
Sulawesi Selatan,"Panca Lautang, Sindenreng Rappang",0,0
Sulawesi Selatan,"Panca Rijang, Sindenreng Rappang",0,0
Sulawesi Selatan,"Pitu Riase, Sindenreng Rappang",0,0
Sulawesi Selatan,"Pitu Riawa, Sindenreng Rappang",0,0
Sulawesi Selatan,"Sidenreng, Sindenreng Rappang",0,0
Sulawesi Selatan,"Tellulimpo E, Sindenreng Rappang",0,0
Sulawesi Selatan,"Watang Pulu, Sindenreng Rappang",0,0
Sulawesi Selatan,"Sidrap, Sindenreng Rappang",0,0
Sulawesi Selatan,"Awan Rante Karua, Tana Toraja Utara",0,0
Sulawesi Selatan,"Balusu, Tana Toraja Utara",0,0
Sulawesi Selatan,"Bangkelekila, Tana Toraja Utara",0,0
Sulawesi Selatan,"Baruppu, Tana Toraja Utara",0,0
Sulawesi Selatan,"Buntao Rantebua, Tana Toraja Utara",0,0
Sulawesi Selatan,"Buntu Pepasan, Tana Toraja Utara",0,0
Sulawesi Selatan,"Denpina/dende Piongan Napo, Tana Toraja Utara",0,0
Sulawesi Selatan,"Kapala Pitu, Tana Toraja Utara",0,0
Sulawesi Selatan,"Kesu, Tana Toraja Utara",0,0
Sulawesi Selatan,"Nanggala, Tana Toraja Utara",0,0
Sulawesi Selatan,"Rantebua, Tana Toraja Utara",0,0
Sulawesi Selatan,"Rantepao, Tana Toraja Utara",0,0
Sulawesi Selatan,"Rindingalo, Tana Toraja Utara",0,0
Sulawesi Selatan,"Sa'dan Balusu, Tana Toraja Utara",0,0
Sulawesi Selatan,"Sanggalangi, Tana Toraja Utara",0,0
Sulawesi Selatan,"Sesean, Tana Toraja Utara",0,0
Sulawesi Selatan,"Soloara, Tana Toraja Utara",0,0
Sulawesi Selatan,"Sopai, Tana Toraja Utara",0,0
Sulawesi Selatan,"Tallunglipu, Tana Toraja Utara",0,0
Sulawesi Selatan,"Tikala, Tana Toraja Utara",0,0
Sulawesi Selatan,"Tondon Nanggala, Tana Toraja Utara",0,0
Sulawesi Selatan,"Belawa, Wajo",0,0
Sulawesi Selatan,"Bola, Wajo",0,0
Sulawesi Selatan,"Gilireng, Wajo",0,0
Sulawesi Selatan,"Keera, Wajo",0,0
Sulawesi Selatan,"Majauleng, Wajo",0,0
Sulawesi Selatan,"Maniang Pajo, Wajo",0,0
Sulawesi Selatan,"Penrang, Wajo",0,0
Sulawesi Selatan,"Pitumpanua, Wajo",0,0
Sulawesi Selatan,"Sabbang Paru, Wajo",0,0
Sulawesi Selatan,"Sajoanging, Wajo",0,0
Sulawesi Selatan,"Sengkang, Wajo",0,0
Sulawesi Selatan,"Takkalalla, Wajo",0,0
Sulawesi Selatan,"Tana Sitolo, Wajo",0,0
Sulawesi Selatan,"Tempe, Wajo",0,0
Sulawesi Selatan,"Pamanna, Wajo",0,0
Sulawesi Tenggara,"Andolo/wanggodo, Konawe Utara/ Selatan",0,0
Sulawesi Tenggara,"Angata, Konawe Utara/ Selatan",0,0
Sulawesi Tenggara,"Kolono, Konawe Utara/ Selatan",0,0
Sulawesi Tenggara,"Konda, Konawe Utara/ Selatan",0,0
Sulawesi Tenggara,"Lainea, Konawe Utara/ Selatan",0,0
Sulawesi Tenggara,"Landono, Konawe Utara/ Selatan",0,0
Sulawesi Tenggara,"Laonti, Konawe Utara/ Selatan",0,0
Sulawesi Tenggara,"Moramo, Konawe Utara/ Selatan",0,0
Sulawesi Tenggara,"Palangga, Konawe Utara/ Selatan",0,0
Sulawesi Tenggara,"Ranomeeto, Konawe Utara/ Selatan",0,0
Sulawesi Tenggara,"Tinanggea, Konawe Utara/ Selatan",0,0
Sulawesi Tenggara,"Bau - Bau, Kota Bau-bau",0,0
Sulawesi Tenggara,"Betoambari, Kota Bau-bau",0,0
Sulawesi Tenggara,"Bungi, Kota Bau-bau",0,0
Sulawesi Tenggara,"Kokalukuna, Kota Bau-bau",0,0
Sulawesi Tenggara,"Murhum, Kota Bau-bau",0,0
Sulawesi Tenggara,"Sorowalio, Kota Bau-bau",0,0
Sulawesi Tenggara,"Wolio, Kota Bau-bau",0,0
Sulawesi Utara,"Beo, Kepulauan Talaud",0,0
Sulawesi Utara,"Essang, Kepulauan Talaud",0,0
Sulawesi Utara,"Gemeh, Kepulauan Talaud",0,0
Sulawesi Utara,"Kabaruan, Kepulauan Talaud",0,0
Sulawesi Utara,"Lirung, Kepulauan Talaud",0,0
Sulawesi Utara,"Melonguane, Kepulauan Talaud",0,0
Sulawesi Utara,"Nanusa, Kepulauan Talaud",0,0
Sulawesi Utara,"Rainis, Kepulauan Talaud",0,0
Papua Barat,"Sorong Barat, Sorong",0,0
Papua Barat,"Sorong Timur, Sorong",0,0
Papua,"Distrik Bomakia, Boven Digoel",0,0
Papua,"Jair, Boven Digoel",0,0
Papua,"Kouh, Boven Digoel",0,0
Papua,"Mandobo, Boven Digoel",0,0
Papua,"Mindiptana, Boven Digoel",0,0
Papua,"Tanah Merah/ Boven Digoel, Boven Digoel",0,0
Papua,"Waropko, Boven Digoel",0,0
Papua,"Assue, Mappi",0,0
Papua,"Citak Mitak, Mappi",0,0
Papua,"Edera, Mappi",0,0
Papua,"Haju, Mappi",0,0
Papua,"Kepi, Mappi",0,0
Papua,"Nambioman Bapai, Mappi",0,0
Papua,"Obaa, Mappi",0,0
Papua,"Agisiga, Paniai",0,0
Papua,"Aradide, Paniai",0,0
Papua,"Biandoga, Paniai",0,0
Papua,"Bibida, Paniai",0,0
Papua,"Bogoboida, Paniai",0,0
Papua,"Enarotari, Paniai",0,0
Papua,"Homeyo, Paniai",0,0
Papua,"Paniai Barat, Paniai",0,0
Papua,"Paniai Timur, Paniai",0,0
Papua,"Sugapa, Paniai",0,0
Papua,"Tigi, Paniai",0,0
Papua,"Tigi Timur, Paniai",0,0
Papua,"Bokondini, Talikora",0,0
Papua,"Kanggime, Talikora",0,0
Papua,"Karubaga, Talikora",0,0
Papua,"Kembu, Talikora",0,0
Papua,"Abepura, Jayapura",0,0
Papua,"Jayapura Selatan, Jayapura",0,0
Papua,"Jayapura Utara, Jayapura",0,0
Papua,"Muara Tam, Jayapura",0,0
